,Neighborhood,Venue,Venue id,Venue Latitude,Venue Longitude,tipCount,likes,rating
0,Rogers Park,Charmers Cafe,5710dcf0498e87c71d20b69d,42.016163863179976,-87.66824960725634,3,14,8.0
1,Rogers Park,Sol Café,505d49ede4b0236a27575f1b,42.01930628594254,-87.67207807612867,33,91,8.9
2,West Ridge,Patel's Cafe,536eae04498ed93756543fb5,41.99772305109895,-87.6948566397333,2,11,6.2
3,West Ridge,Patel Brothers,4b5a68abf964a52040c328e3,41.99776858905524,-87.69528187776139,9,33,7.6
4,Uptown,Kopi Café,43655e80f964a5206d291fe3,41.97861200149812,-87.66829842785883,58,116,8.9
5,Uptown,Kopi Café,43655e80f964a5206d291fe3,41.97861200149812,-87.66829842785883,58,116,8.8
6,Edgewater,Kopi Café,43655e80f964a5206d291fe3,41.97861200149812,-87.66829842785883,58,116,8.9
7,Edgewater,Kopi Café,43655e80f964a5206d291fe3,41.97861200149812,-87.66829842785883,58,116,8.8
8,Uptown,Indie Café,45bba5e7f964a520f6411fe3,41.99052209505275,-87.66020826715666,42,82,8.6
9,Uptown,Indie Café,45bba5e7f964a520f6411fe3,41.99052209505275,-87.66020826715666,42,82,8.6
10,Edgewater,Indie Café,45bba5e7f964a520f6411fe3,41.99052209505275,-87.66020826715666,42,82,8.6
11,Edgewater,Indie Café,45bba5e7f964a520f6411fe3,41.99052209505275,-87.66020826715666,42,82,8.6
12,Uptown,Cafe Hoang,4b7c5229f964a5202f8c2fe3,41.9733578162394,-87.65584576433082,10,16,7.4
13,Uptown,Phlour Bakery & Cafe,58f94052d7627e28e6e92073,41.98369990799272,-87.65956847389437,6,7,8.8
14,Uptown,Phlour Bakery & Cafe,58f94052d7627e28e6e92073,41.98369990799272,-87.65956847389437,6,7,8.8
15,Edgewater,Phlour Bakery & Cafe,58f94052d7627e28e6e92073,41.98369990799272,-87.65956847389437,6,7,8.8
16,Edgewater,Phlour Bakery & Cafe,58f94052d7627e28e6e92073,41.98369990799272,-87.65956847389437,6,7,8.8
