,id,tipCount,likes,rating
0,4bd0edd1a8b3a593cbfd645f,26,31,8.0
3,5c124f8e5a2c91002cd2dc5c,2,11,8.0
14,4afef141f964a520ec3122e3,28,35,7.1
16,54790b93498e7162d99f4f94,14,38,8.6
21,55ecdd5a498ece8f3c76d39a,3,4,6.6
24,4f939313e4b0e8f465c26165,4,7,5.4
28,5214018211d2b9413a2e41f1,2,11,7.5
29,4b758c1cf964a5203a132ee3,3,5,5.9
33,4ba42816f964a520508738e3,4,8,6.2
38,56475ce4498efa22f5243b2f,3,14,8.1
48,4bf1eedd189f0f470de2b762,5,11,8.1
55,4b0903e5f964a520d91323e3,31,51,8.4
74,4b45f746f964a520101326e3,26,57,8.2
81,4b4bcb5df964a520efa726e3,66,151,8.8
82,42d84e00f964a52028261fe3,254,766,9.3
85,580feee638faa7849201e33e,10,38,8.2
86,554a2be6498ea44cd0b2c9ca,15,60,9.2
95,4c3b901f4565e21ebfee566a,6,5,6.3
96,4a9aec5df964a5209e3320e3,115,214,7.6
97,42d84e00f964a52028261fe3,254,766,9.3
98,4b4bcb5df964a520efa726e3,66,151,8.8
100,554a2be6498ea44cd0b2c9ca,15,60,9.2
102,4c43e1d78c1f20a1fabb3b99,40,119,7.9
103,4a9aec5df964a5209e3320e3,115,214,7.6
116,4b682634f964a52045692be3,16,41,9.0
117,40b68100f964a5207b001fe3,94,68,8.0
118,4ae336b9f964a520c19121e3,53,83,8.0
119,4d44606fbbb1a14304d14572,14,1,5.9
120,5c17dc26fd9d73002c4695eb,1,11,8.7
121,5a03adb3b399f751314fa8c8,4,31,9.0
122,4ae35cdcf964a520039421e3,11,11,6.0
129,4aedbf43f964a52087ce21e3,23,48,8.3
133,4b6486eff964a520f3ba2ae3,10,21,8.4
134,4b44df21f964a520d9fe25e3,5,7,6.7
135,55395025498e9eecfd024e0b,2,4,5.8
141,582cb04f51f5c15d8b178e4d,9,64,8.0
144,4b92e6bcf964a520952534e3,13,25,8.3
145,50f1e611e4b094237cc8e2e3,12,51,7.9
146,40b28c80f964a520d3fe1ee3,36,46,7.6
147,4c0061c5ad15a593f3d78d73,15,11,7.2
152,50940dd7e4b0ad3a94ae4549,5,21,8.4
153,4f22f276e4b0717a66df87af,21,43,8.9
158,4af4398ff964a520b4f021e3,64,141,8.9
159,4b808586f964a520b07930e3,19,12,7.0
166,510ed847e4b0be8b41b5215f,7,4,5.9
168,597037dc286fda37b99b2b52,13,2,5.5
169,5838a251d439073da7e8fa12,5,2,8.8
172,4e879cdc93adfd051d6d609e,475,1263,9.0
173,4ac3492df964a5201f9b20e3,18,13,6.6
174,4bf8755d4a67c928ba7c25cf,24,30,5.7
175,4a799832f964a52031e71fe3,31,35,7.2
176,4b721dfff964a520876f2de3,9,25,6.3
178,5d54c94335b9e6000829a2ce,5,8,6.5
179,4a50c752f964a52023b01fe3,67,180,6.8
180,4d07b941e350b60c49f69342,85,197,8.1
182,4a896b33f964a520fd0720e3,71,122,6.5
184,4b66cfcbf964a520c22b2be3,96,429,7.9
185,4a29427ef964a52076951fe3,12,31,7.3
187,4bd95fb25cf276b02fa69d00,20,34,6.9
188,4a4ced28f964a52057ad1fe3,11,17,6.5
189,572b99ba498e801155acb3e3,3,11,8.0
190,51559ef6e4b0b2770c120463,12,34,6.2
193,4b59fdccf964a52062a628e3,12,11,5.9
201,4e56e50352b1d8d4e311da9e,98,255,8.0
202,4bd06a9ecaff9521bcbacef0,6,1,5.3
205,592f142acf72a063b395cb43,59,208,7.6
206,4ba50eccf964a520e6d638e3,4,3,6.2
209,4a4fb34df964a52099af1fe3,353,834,8.4
210,4b2aa287f964a520b5ac24e3,24,54,6.8
211,53911151498ef50eb3df2303,2,6,5.6
212,4b575dabf964a520d83328e3,28,50,6.6
213,49fb4f6ff964a520336e1fe3,37,75,7.4
214,57e56178498e2033e701392a,2,14,7.8
216,5ce86dce3731ee002c172594,2,8,7.0
217,4aba6980f964a520368120e3,195,441,8.8
218,57b485e1498e8f5a79049391,5,9,7.8
220,4b54b352f964a520cfc727e3,2,3,5.9
221,573b2c3238faeff59fd2cc36,2,24,8.7
223,4b64d4e8f964a52078d32ae3,17,24,7.8
226,59ed00458ad62e6909c5e817,2,5,7.7
240,4bc4d8964cdfc9b6cc3f9921,36,87,7.4
243,4a109e41f964a520e9761fe3,36,72,8.7
246,500efa59e4b02b08aa535a37,12,20,8.2
247,4bc4d8964cdfc9b6cc3f9921,36,87,7.4
248,5329cad8498e42386162a7fb,37,136,8.9
249,4a50cc8ff964a52025b01fe3,28,52,8.3
250,4a7f7916f964a52028f41fe3,43,75,8.7
251,4a4f593ef964a52042af1fe3,9,0,5.2
252,4b7ae54af964a52076442fe3,6,5,5.3
260,50a14d20e4b04eb23eb8f7f1,5,5,5.1
261,4d94d5971231b60ca31283a1,28,32,7.4
262,5d9df16482baed00086dcab0,1,1,7.4
263,4ca0eeef2fb1a1433dc70041,13,18,5.4
267,4e285943d22d848a146224bc,4,6,5.3
270,4bc35f0dabf49521dfa8c393,11,12,5.9
289,4bbb5a2f7421a593bbb4c440,9,6,5.9
291,5676fbea498e97455c728b56,3,7,7.1
293,53160d72498ee62081f063d8,30,75,7.3
296,4ed5076d02d5ef93a2adeba9,5,11,7.6
301,55a28d6b498e0dc85761d3e2,3,13,7.9
303,537d4964498e6816a1ee5bfc,2,6,7.7
304,4cfbcb23ee9cb60c100792ad,4,3,6.3
306,537d4964498e6816a1ee5bfc,2,6,7.7
307,55f50288498e7d5bac664525,3,5,8.0
309,563a985ccd10166ccc03a92d,3,6,6.5
315,50785d1ce4b04c2b968992c2,4,11,8.3
329,4c4c6f1d5609c9b628538792,24,43,8.3
330,58bdeb995cab2f2d2c2ceb2b,8,11,8.1
337,4c6a8808c946e21eaae0ec8e,7,12,6.8
342,531ddd74498ef3f626cc5f90,18,61,8.1
346,43655e80f964a5206d291fe3,58,116,8.8
347,45bba5e7f964a520f6411fe3,42,82,8.6
348,58f94052d7627e28e6e92073,6,7,8.8
350,4a96fa5ff964a520cd2720e3,28,71,9.2
356,4e92128102d5dcbe60036479,21,98,9.0
360,5aa2b12d5c68386166696a25,35,0,5.4
362,4a6b96cbf964a52041cf1fe3,17,0,7.3
368,4bf58ddf493c2d7f57da4785,5,5,7.3
374,509c01ece4b09cc7b56dbc5b,16,59,8.2
376,4bdb56063904a59395e1499e,7,2,5.6
377,4aa3fa44f964a520a84420e3,84,172,9.1
