,id,tipCount,likes,rating
0,5710dcf0498e87c71d20b69d,3,14,8.0
1,505d49ede4b0236a27575f1b,33,91,8.9
2,536eae04498ed93756543fb5,2,11,6.2
3,4b5a68abf964a52040c328e3,9,33,7.6
4,43655e80f964a5206d291fe3,58,116,8.9
5,45bba5e7f964a520f6411fe3,42,82,8.6
6,4b7c5229f964a5202f8c2fe3,10,16,7.4
7,58f94052d7627e28e6e92073,6,7,8.8
8,4a96fa5ff964a520cd2720e3,28,71,9.2
9,5aa2b12d5c68386166696a25,35,0,5.4
10,4a6b96cbf964a52041cf1fe3,17,0,7.3
11,4bf58ddf493c2d7f57da4785,5,5,7.3
12,4e92128102d5dcbe60036479,21,98,9.0
13,4bdb56063904a59395e1499e,7,2,5.6
14,509c01ece4b09cc7b56dbc5b,16,59,8.2
15,4aa3fa44f964a520a84420e3,84,172,9.1
16,4b51fd69f964a520b45f27e3,50,44,8.9
17,4b590b55f964a520e87928e3,20,14,7.2
18,52169d1a11d25334c755305a,5,3,6.3
19,4c195d7498f4a593be0000f6,11,14,7.4
20,4c2113bc7e85c92802f1b921,4,37,7.8
21,4ef3af0e0aaf6577fd234f5a,28,67,8.0
22,4a0627d0f964a520c4721fe3,19,59,8.2
23,4b57d441f964a520044328e3,50,104,8.2
24,5aa99a65e1f0aa1412d324ff,1,7,8.1
25,52c5a70f498e50b8c5eb434c,6,9,7.0
26,4b33afa0f964a520da1c25e3,20,26,8.1
27,4afb1aa2f964a5202d1b22e3,11,17,5.7
28,4f7f8817e4b0ac16a0eb0b22,25,49,7.0
29,4a761079f964a52017e21fe3,71,146,8.1
30,4bbb73e89858d13ac95b33a2,3,3,6.4
31,4bf42b7398ac0f47bfad63a8,5,5,6.0
32,4ae3562ff964a520a19321e3,10,5,6.1
33,41eda300f964a520f71e1fe3,217,776,9.2
34,49d6a68ef964a520f65c1fe3,26,22,6.9
35,5acfc7691499467cf1440b05,4,5,7.7
36,50983e68f31c409be941bbe4,9,18,8.6
37,4baf5a94f964a520c9f93be3,2,7,5.4
38,4a7ec9ebf964a5201bf21fe3,8,39,7.5
39,3fd66200f964a520e1ed1ee3,20,41,8.6
40,4a955e1ff964a520fe2220e3,51,68,7.4
41,4a39a19cf964a520a39f1fe3,27,32,8.3
42,4bc85a960050b7139329ba3b,91,167,8.3
43,4b09de84f964a520f31e23e3,58,151,8.6
44,4aca1c81f964a5206cc020e3,12,75,7.4
45,4db18a33fc60cfe27fbb539f,9,20,8.0
46,4ad4c86ff964a520bbfb20e3,101,206,7.7
47,46bc4377f964a520d7491fe3,14,29,7.1
48,4f3e856f6b742d59d6de5f88,29,71,8.4
49,4a333c5ff964a5201d9b1fe3,40,125,8.5
50,4bd0edd1a8b3a593cbfd645f,26,31,8.0
51,5c124f8e5a2c91002cd2dc5c,2,11,8.0
52,4afef141f964a520ec3122e3,28,35,7.1
53,54790b93498e7162d99f4f94,14,38,8.6
54,55ecdd5a498ece8f3c76d39a,3,4,6.6
55,4f939313e4b0e8f465c26165,4,7,5.4
56,5214018211d2b9413a2e41f1,2,11,7.5
57,4b758c1cf964a5203a132ee3,3,5,5.9
58,4ba42816f964a520508738e3,4,8,6.2
59,56475ce4498efa22f5243b2f,3,14,8.1
60,4bf1eedd189f0f470de2b762,5,11,8.1
61,4b0903e5f964a520d91323e3,31,51,8.4
62,4b45f746f964a520101326e3,26,57,8.2
63,4b4bcb5df964a520efa726e3,66,151,8.8
64,42d84e00f964a52028261fe3,254,766,9.3
65,580feee638faa7849201e33e,10,38,8.2
66,554a2be6498ea44cd0b2c9ca,15,60,9.2
67,4c3b901f4565e21ebfee566a,6,5,6.3
68,4a9aec5df964a5209e3320e3,115,214,7.6
69,42d84e00f964a52028261fe3,254,766,9.3
70,4b4bcb5df964a520efa726e3,66,151,8.8
71,554a2be6498ea44cd0b2c9ca,15,60,9.2
72,4c43e1d78c1f20a1fabb3b99,40,119,7.9
73,4a9aec5df964a5209e3320e3,115,214,7.6
74,4b682634f964a52045692be3,16,41,9.0
75,40b68100f964a5207b001fe3,94,68,8.0
76,4ae336b9f964a520c19121e3,53,83,8.0
77,4d44606fbbb1a14304d14572,14,1,5.9
78,5c17dc26fd9d73002c4695eb,1,11,8.7
79,5a03adb3b399f751314fa8c8,4,31,9.0
80,4ae35cdcf964a520039421e3,11,11,6.0
81,4aedbf43f964a52087ce21e3,23,48,8.3
82,4b6486eff964a520f3ba2ae3,10,21,8.4
83,4b44df21f964a520d9fe25e3,5,7,6.7
84,55395025498e9eecfd024e0b,2,4,5.8
85,582cb04f51f5c15d8b178e4d,9,64,8.0
86,4b92e6bcf964a520952534e3,13,25,8.3
87,50f1e611e4b094237cc8e2e3,12,51,7.9
88,40b28c80f964a520d3fe1ee3,36,46,7.6
89,4c0061c5ad15a593f3d78d73,15,11,7.2
90,50940dd7e4b0ad3a94ae4549,5,21,8.4
91,4f22f276e4b0717a66df87af,21,43,8.9
92,4af4398ff964a520b4f021e3,64,141,8.9
93,4b808586f964a520b07930e3,19,12,7.0
94,510ed847e4b0be8b41b5215f,7,4,5.9
95,597037dc286fda37b99b2b52,13,2,5.5
96,5838a251d439073da7e8fa12,5,2,8.8
97,4e879cdc93adfd051d6d609e,475,1263,9.0
98,4ac3492df964a5201f9b20e3,18,13,6.6
99,4bf8755d4a67c928ba7c25cf,24,30,5.7
100,4a799832f964a52031e71fe3,31,35,7.2
101,4b721dfff964a520876f2de3,9,25,6.3
102,5d54c94335b9e6000829a2ce,5,8,6.5
103,4a50c752f964a52023b01fe3,67,180,6.8
104,4d07b941e350b60c49f69342,85,197,8.1
105,4a896b33f964a520fd0720e3,71,122,6.5
106,4b66cfcbf964a520c22b2be3,96,429,7.9
107,4a29427ef964a52076951fe3,12,31,7.3
108,4bd95fb25cf276b02fa69d00,20,34,6.9
109,4a4ced28f964a52057ad1fe3,11,17,6.5
110,572b99ba498e801155acb3e3,3,11,8.0
111,51559ef6e4b0b2770c120463,12,34,6.2
112,4b59fdccf964a52062a628e3,12,11,5.9
113,4e56e50352b1d8d4e311da9e,98,255,8.0
114,4bd06a9ecaff9521bcbacef0,6,1,5.3
115,592f142acf72a063b395cb43,59,208,7.6
116,4ba50eccf964a520e6d638e3,4,3,6.2
117,4a4fb34df964a52099af1fe3,353,834,8.4
118,4b2aa287f964a520b5ac24e3,24,54,6.8
119,53911151498ef50eb3df2303,2,6,5.6
120,4b575dabf964a520d83328e3,28,50,6.6
121,49fb4f6ff964a520336e1fe3,37,75,7.4
122,57e56178498e2033e701392a,2,14,7.8
123,5ce86dce3731ee002c172594,2,8,7.0
124,4aba6980f964a520368120e3,195,441,8.8
